Symbol,Description,Price,Price - Currency,Price Change % 1 day,Volume 1 day,Relative Volume 1 day,Market capitalization,Market capitalization - Currency,"Earnings per share diluted growth %, TTM YoY",Sector,Analyst Rating,Exponential Moving Average (8) 1 week,Exponential Moving Average (13) 1 week,Exponential Moving Average (21) 1 week,Change from Open % 1 week
BOSC,B.O.S. Better Online Solutions,5.04,USD,5.882352941176476,104716,2.85768865504481,31171151.647058826,USD,34.846113719353156,Electronic technology,No rating,4.788685237669296,4.777713385764871,4.761682826623378,9.565217391304357
CRWS,"Crown Crafts, Inc.",2.91,USD,0.3448275862069045,20562,0.4295194904756633,31130561.87586207,USD,-478.4380305602716,Consumer durables,No rating,2.9189696555923836,2.8988004593605177,2.898450702372354,-0.6825938566552906
HRGN,Harvard Apparatus Regenerative Technology Inc.,1.77,USD,-1.666666666666668,1057,0.3204098335808906,31117916,USD,29.973935708079928,Health technology,No rating,1.7606946147681934,1.7717908101030015,1.7850239219779778,0
PWBK,Pacific West Bancorp,11.6378,USD,0.32586206896552344,100,0.00859106529209622,31089206.88089655,USD,,Finance,No rating,11.81931266904794,11.825479095786559,11.74077384571992,1.1982608695652206
KTCC,Key Tronic Corporation,2.86,USD,0.7042253521126767,7371,0.7058181400337061,31057506.359154925,USD,-91.0228802153432,Electronic technology,No rating,2.9185580228662533,2.898291233230861,2.905080997961324,-0.34843205574913694
RYOJ,"rYojbaba Co., Ltd.",2.75,USD,6.589147286821702,432467,314.22436968684156,30937498.934108533,USD,100,Health services,No rating,2.8676579934290882,2.9726025952366704,3.0349509994716763,7.212475633528268
APHD,APOGEE 21 HLDGS INC.,1.73,USD,0,100,0.02547640884540915,30930824.999999996,USD,5.427408412483044,Commercial services,No rating,1.0923700040281688,0.9766239958296089,0.837465530316363,0
WOBK,Woodsboro Bank MD,78,USD,1.2987012987012987,694,0.9309188464118041,30922008,USD,,Finance,No rating,74.04180299862618,70.17697331711224,65.99595042202529,0
TAOX,Tao Synergies Inc.,4.14,USD,-0.7194244604316606,34479,0.3309779588012644,30836139.712230217,USD,-127.30285668281294,Technology services,No rating,4.287640608750783,4.646490479452039,5.04504649325705,10.695187165775385
AATC,Autoscope Technologies Corporation,5.6986,USD,-1.578583765112265,2328,0.36772603778353447,30816360.55699482,USD,-65.69897275569451,Technology services,No rating,5.804629628608329,5.913834205438571,6.104179114469527,0.8601769911504341
MRMD,MariMed Inc.,0.078,USD,-3.703703703703707,425798,0.8642980701582741,30815744.074074075,USD,-24.000000000000004,Process industries,Buy,0.08498522341199784,0.08950988891998762,0.09525830941177013,-7.692307692307699
